full_date,date,weekday,time,mood,activities,note
2020-08-09,August 9,Sunday,2:52 p.m.,awful,"",""
2020-08-02,August 2,Sunday,4:04 p.m.,tired,"friends | family time  | snack  | visit | travel",""
2020-08-01,August 1,Saturday,10:33 p.m.,tired,"family time  | movies & tv | brushing teeth | washroom  | studying | skin care | shower  | dinner ",""
2020-08-01,August 1,Saturday,7:17 p.m.,good,"snack  | work",""
2020-08-01,August 1,Saturday,3:51 p.m.,nervous ,"friends | lunch ",""
2020-07-31,July 31,Friday,10:30 p.m.,meh,"sleep | brushing teeth | washroom  | drink water  | studying",""
2020-07-31,July 31,Friday,8:00 p.m.,meh,"family time  | movies & tv | dinner ",""
2020-07-31,July 31,Friday,3:51 p.m.,good,"programming | reading | focus | take a break",""
2020-07-30,July 30,Thursday,6:02 p.m.,meh,"lunch  | work",""
2020-07-30,July 30,Thursday,12:11 p.m.,good,"reading | walk",""
2020-07-30,July 30,Thursday,10:10 a.m.,good,"programming | medium sleep | brushing teeth | washroom  | drink water  | skin care | shower  | breakfast  | sunny | woke up ",""
2020-07-29,July 29,Wednesday,10:57 p.m.,good,"family time  | movies & tv | programming | brushing teeth | washroom  | drink water  | dinner ",""
2020-07-28,July 28,Tuesday,10:10 p.m.,good,"family time  | movies & tv | brushing teeth | washroom  | drink water  | studying | skin care | shower  | dinner ",""
2020-07-28,July 28,Tuesday,6:18 p.m.,sad,"",""
2020-07-28,July 28,Tuesday,1:56 p.m.,awful,"",""
2020-07-28,July 28,Tuesday,12:11 p.m.,good,"programming | reading | focus | take a break",""
2020-07-28,July 28,Tuesday,9:49 a.m.,meh,"good sleep | brushing teeth | washroom  | drink water  | shower  | breakfast  | shopping | sunny | heat | woke up ",""
2020-07-28,July 28,Tuesday,12:28 a.m.,meh,"friends | programming | gaming",""
2020-07-27,July 27,Monday,9:50 a.m.,good,"programming | focus | studying",""
2020-07-26,July 26,Sunday,6:53 p.m.,tired,"friends | family time  | programming | gaming | dinner ",""
2020-07-26,July 26,Sunday,11:38 a.m.,good,"lunch  | work",""
2020-07-26,July 26,Sunday,7:43 a.m.,tired,"browsing the internet | brushing teeth | washroom  | drink water  | skin care | shower  | breakfast  | work | woke up ",""
2020-07-25,July 25,Saturday,10:00 p.m.,sad,"brushing teeth | drink water  | skin care | shower  | work",""
