full_date,date,weekday,time,mood,activities,note
8/9/2020,9-Aug,Sunday,2:52 p.m.,awful,,
8/2/2020,2-Aug,Sunday,4:04 p.m.,tired,friends | family time  | snack  | visit | travel,
8/1/2020,1-Aug,Saturday,10:33 p.m.,tired,family time  | movies & tv | brushing teeth | washroom  | studying | skin care | shower  | dinner ,
8/1/2020,1-Aug,Saturday,7:17 p.m.,good,snack  | work,
8/1/2020,1-Aug,Saturday,3:51 p.m.,nervous ,friends | lunch ,
7/31/2020,31-Jul,Friday,10:30 p.m.,meh,sleep | brushing teeth | washroom  | drink water  | studying,
7/31/2020,31-Jul,Friday,8:00 p.m.,meh,family time  | movies & tv | dinner ,
7/31/2020,31-Jul,Friday,3:51 p.m.,good,programming | reading | focus | take a break,
7/30/2020,30-Jul,Thursday,6:02 p.m.,meh,lunch  | work,
7/30/2020,30-Jul,Thursday,12:11 p.m.,good,reading | walk,
7/30/2020,30-Jul,Thursday,10:10 a.m.,good,programming | medium sleep | brushing teeth | washroom  | drink water  | skin care | shower  | breakfast  | sunny | woke up ,
7/29/2020,29-Jul,Wednesday,10:57 p.m.,good,family time  | movies & tv | programming | brushing teeth | washroom  | drink water  | dinner ,
7/28/2020,28-Jul,Tuesday,10:10 p.m.,good,family time  | movies & tv | brushing teeth | washroom  | drink water  | studying | skin care | shower  | dinner ,
7/28/2020,28-Jul,Tuesday,6:18 p.m.,sad,,
7/28/2020,28-Jul,Tuesday,1:56 p.m.,awful,,
7/28/2020,28-Jul,Tuesday,12:11 p.m.,good,programming | reading | focus | take a break,
7/28/2020,28-Jul,Tuesday,9:49 a.m.,meh,good sleep | brushing teeth | washroom  | drink water  | shower  | breakfast  | shopping | sunny | heat | woke up ,
7/28/2020,28-Jul,Tuesday,12:28 a.m.,meh,friends | programming | gaming,
7/27/2020,27-Jul,Monday,9:50 a.m.,good,programming | focus | studying,
7/26/2020,26-Jul,Sunday,6:53 p.m.,tired,friends | family time  | programming | gaming | dinner ,
7/26/2020,26-Jul,Sunday,11:38 a.m.,good,lunch  | work,
7/26/2020,26-Jul,Sunday,7:43 a.m.,tired,browsing the internet | brushing teeth | washroom  | drink water  | skin care | shower  | breakfast  | work | woke up ,
7/25/2020,25-Jul,Saturday,10:00 p.m.,sad,brushing teeth | drink water  | skin care | shower  | work,
7/25/2020,25-Jul,Saturday,3:02 p.m.,good,programming | studying | lunch ,
7/25/2020,25-Jul,Saturday,10:01 a.m.,meh,browsing the internet | programming | medium sleep | brushing teeth | washroom  | drink water  | studying | skin care | shower  | sunny | woke up ,
7/24/2020,24-Jul,Friday,3:10 p.m.,meh,programming | washroom  |programming| snack ,
7/24/2020,24-Jul,Friday,10:03 a.m.,good,haircut | skin care | shower ,
7/23/2020,23-Jul,Thursday,10:38 p.m.,meh,family time  | movies & tv | programming | walk | brushing teeth | washroom  | drink water  | dinner ,
7/23/2020,23-Jul,Thursday,1:38 p.m.,good,programming | brushing teeth | washroom  | studying | lecture | lunch ,
7/23/2020,23-Jul,Thursday,9:30 a.m.,meh,good sleep | brushing teeth | washroom  | drink water  | programming | shower  | breakfast  | sunny | woke up ,
7/22/2020,22-Jul,Wednesday,10:29 p.m.,tired,brushing teeth | drink water  | programming | skin care | shower  | dinner  | work | rain,
7/22/2020,22-Jul,Wednesday,12:11 p.m.,meh,walk | brushing teeth | washroom  | drink water ,
7/22/2020,22-Jul,Wednesday,12:37 a.m.,tired,movies & tv | gaming | sleep | snack ,
7/21/2020,21-Jul,Tuesday,10:59 p.m.,good,relax | browsing the internet | programming | brushing teeth | washroom  | drink water  |programming| focus | lunch ,
7/21/2020,21-Jul,Tuesday,9:58 a.m.,meh,washroom  | snack  | work,
7/21/2020,21-Jul,Tuesday,7:46 a.m.,meh,bad sleep | brushing teeth | washroom  | drink water  | skin care | shower  | breakfast  | woke up early,
7/20/2020,20-Jul,Monday,10:00 p.m.,tired,sleep early | brushing teeth | programming | skin care | shower ,
7/20/2020,20-Jul,Monday,9:14 p.m.,tired,friends | family time  | movies & tv | washroom  | drink water  | snack  | dinner ,
7/20/2020,20-Jul,Monday,6:27 p.m.,good,friends | programming | reading | gaming | brushing teeth | washroom  | drink water ,
7/20/2020,20-Jul,Monday,2:28 p.m.,good,friends | walk | brushing teeth | washroom  | drink water  | lunch ,
